county,zip,res_ratio,bus_ratio,oth_ratio,tot_ratio
01041,36071,0.051493665,0.026645768,0.055944056,0.049872123
01041,36041,0.102173660,0.068965517,0.020979021,0.098678602
01041,36035,0.026502383,0.007836991,0.013986014,0.025042626
01041,36049,0.400092991,0.731974922,0.650349650,0.426470588
01041,36036,0.051609904,0.026645768,0.000000000,0.049126172
01041,36323,0.001046147,0.003134796,0.006993007,0.001278772
01041,36034,0.014529815,0.004702194,0.013986014,0.013853367
01041,36042,0.059049169,0.010971787,0.013986014,0.055093777
01041,36037,0.002789725,0.003134796,0.000000000,0.002770673
01041,36046,0.064628618,0.021943574,0.000000000,0.060741688
01041,36028,0.072067883,0.032915361,0.041958042,0.068947144
01043,35055,0.224466371,0.465248963,0.479791395,0.246985539
01043,35083,0.034368585,0.012188797,0.007822686,0.032247727
01043,35087,0.011809372,0.003112033,0.009126467,0.011096423
01043,35077,0.150497760,0.106587137,0.152542373,0.147137764
01043,35070,0.000000000,0.000259336,0.000000000,0.000020030
01043,35016,0.023044831,0.010373444,0.013037810,0.021912430
01043,35622,0.016378606,0.001556017,0.009126467,0.015122381
01043,35179,0.102840871,0.040975104,0.075619296,0.097644514
01043,35053,0.048539832,0.009854772,0.019556714,0.045106758
01043,35540,0.001390636,0.000259336,0.000000000,0.001281897
01043,35019,0.020749178,0.011410788,0.011734029,0.019889436
01043,35976,0.000220736,0.000000000,0.000000000,0.000200296
01043,35098,0.015032117,0.002852697,0.002607562,0.013900573
01043,35056,0.033022096,0.132261411,0.001303781,0.040199495
01043,35057,0.154139902,0.078838174,0.108213820,0.147618475
01043,35619,0.000286957,0.000000000,0.000000000,0.000260385
01043,35541,0.000198662,0.000000000,0.000000000,0.000180267
01043,35670,0.000022074,0.000000000,0.000000000,0.000020030
01043,35033,0.043198022,0.010632780,0.007822686,0.040139406
01043,35621,0.001854182,0.000518672,0.000000000,0.001722549
01043,35058,0.117939209,0.113070539,0.101694915,0.117313624
01045,36350,0.104382725,0.040369650,0.152397260,0.101019613
01045,36361,0.057359000,0.124027237,0.003424658,0.060787115
01045,36353,0.009411848,0.003891051,0.000000000,0.008864788
01045,36330,0.062721978,0.027723735,0.051369863,0.060170152
01045,36360,0.385672681,0.460116732,0.476027397,0.392356150
01045,36345,0.003622674,0.001945525,0.000000000,0.003442005
01045,36371,0.000000000,0.000486381,0.000000000,0.000032472
01045,36317,0.000532746,0.000486381,0.000000000,0.000519548
01045,36322,0.169448785,0.253891051,0.203767123,0.175737109
01045,36352,0.029478619,0.009241245,0.003424658,0.027633459
01045,36362,0.100795568,0.007782101,0.027397260,0.093193921
01045,36303,0.020919165,0.042801556,0.071917808,0.023347188
01045,36311,0.034912630,0.015564202,0.010273973,0.033153656
01045,36374,0.020741583,0.011673152,0.000000000,0.019742824
01047,36759,0.041073271,0.013623978,0.001749271,0.036529031
01047,36785,0.006769866,0.003178928,0.000000000,0.006076327
01047,36775,0.019277606,0.007266122,0.002915452,0.017340630
01047,36703,0.288132095,0.346957312,0.331778426,0.295394784
01047,36773,0.008503612,0.001362398,0.002332362,0.007568758
01047,36758,0.017048504,0.006357856,0.000583090,0.015208585
01047,36701,0.554427245,0.599909173,0.636734694,0.563001919
01047,36749,0.010815273,0.003178928,0.006413994,0.009949542
01047,36761,0.015727554,0.011353315,0.001749271,0.014533438
01047,36767,0.038224974,0.006811989,0.015743440,0.034396987
01049,35956,0.000027969,0.000000000,0.000000000,0.000025686
01049,35984,0.030346255,0.015817901,0.010256410,0.029077085
01049,35959,0.000811098,0.000000000,0.000000000,0.000744908
01049,35988,0.024920289,0.011574074,0.029059829,0.024093910
01049,35966,0.019829949,0.011959877,0.010256410,0.019162107
01049,35989,0.045868994,0.011188272,0.010256410,0.043024839
01049,35967,0.218241316,0.435956790,0.483760684,0.236726516
01049,35986,0.107959949,0.097993827,0.100854701,0.107189643
01049,35961,0.054847010,0.017746914,0.037606838,0.052117850
01049,35954,0.001817978,0.000385802,0.000000000,0.001695307
01049,35983,0.000587347,0.000000000,0.000000000,0.000539416
01049,35765,0.003384237,0.000000000,0.003418803,0.003159436
01049,35981,0.032723611,0.024305556,0.056410256,0.032519072
01049,35963,0.023717626,0.002700617,0.013675214,0.022167424
01049,35771,0.002237512,0.000000000,0.003418803,0.002106291
01049,35968,0.102506013,0.209104938,0.071794872,0.109141815
01049,35971,0.065391285,0.035493827,0.063247863,0.063368524
01049,35979,0.011998657,0.004629630,0.000000000,0.011327734
01049,35951,0.028612183,0.005401235,0.003418803,0.026688243
01049,35962,0.088717346,0.037808642,0.061538462,0.084919473
01049,35957,0.026710298,0.005015432,0.006837607,0.024967250
01049,35975,0.014739610,0.001929012,0.000000000,0.013665203
01049,35978,0.070817251,0.047839506,0.032478632,0.068711310
01049,35974,0.023186217,0.023148148,0.001709402,0.022860959
01051,36092,0.258909726,0.372805618,0.300000000,0.267330926
01051,36054,0.196171668,0.231407597,0.080392157,0.197316214
01051,35010,0.009413135,0.002234280,0.031372549,0.009161428
01051,36022,0.093913001,0.024257900,0.027450980,0.088292987
01051,36026,0.007132633,0.001595914,0.003921569,0.006709465
01051,36067,0.000048521,0.002872646,0.000000000,0.000245196
01051,36051,0.004924913,0.001276732,0.000000000,0.004614150
01051,36020,0.012227371,0.005426109,0.011764706,0.011747136
01051,35136,0.000048521,0.000000000,0.000000000,0.000044581
01051,36078,0.106649846,0.126077242,0.084313725,0.107752664
01051,36024,0.086464980,0.060325567,0.041176471,0.084124649
01051,36066,0.026250030,0.065432493,0.229411765,0.031295974
01051,36080,0.034935345,0.009894670,0.131372549,0.034282912
01051,36025,0.043183969,0.034471752,0.035294118,0.042485845
01051,36093,0.119726340,0.061921481,0.023529412,0.114595872
01053,36562,0.004926859,0.000542888,0.011990408,0.004693124
01053,36420,0.003352296,0.002171553,0.000000000,0.003189502
01053,36432,0.014069484,0.006514658,0.000000000,0.013168087
01053,36426,0.442096709,0.461454940,0.448441247,0.443841983
01053,36475,0.000203169,0.000000000,0.000000000,0.000182257
01053,36502,0.428433564,0.465255157,0.455635492,0.432040826
01053,36503,0.000000000,0.002714441,0.000000000,0.000227822
01053,36543,0.000000000,0.000542888,0.000000000,0.000045564
01053,36483,0.007669646,0.005971770,0.002398082,0.007426983
01053,36441,0.099248273,0.054831705,0.081534772,0.095183852
01055,35961,0.004596406,0.000760890,0.000000000,0.004191334
01055,35905,0.053013099,0.030055165,0.044247788,0.050899424
01055,35972,0.008502444,0.002282671,0.000000000,0.007828172
01055,36272,0.010609887,0.003614229,0.000000000,0.009834141
01055,35901,0.189742565,0.307780103,0.408062930,0.203483536
01055,35952,0.041022473,0.007228457,0.004916421,0.037526298
01055,35990,0.000018168,0.000190223,0.000000000,0.000032617
01055,35121,0.000254347,0.000000000,0.000000000,0.000228322
01055,35957,0.000617699,0.000000000,0.000000000,0.000554495
01055,35954,0.120015261,0.110709530,0.095378564,0.118808813
01055,35907,0.070799193,0.023777820,0.046214356,0.066360063
01055,35906,0.094925785,0.130112231,0.155358899,0.098944828
01055,35956,0.078611268,0.033288948,0.015732547,0.073682665
01055,35902,0.023436223,0.096252616,0.001966568,0.029323026
01055,35904,0.133495631,0.106524634,0.117010816,0.130909862
01055,36271,0.000072670,0.000000000,0.000000000,0.000065235
01055,35903,0.170266882,0.147422484,0.111111111,0.167327169
01057,35546,0.160244907,0.100412655,0.043956044,0.154016567
01057,35542,0.076955558,0.017881706,0.000000000,0.071469852
01057,35545,0.000000000,0.001375516,0.000000000,0.000096321
