Date,ZipCode,State,Metro,County,City,SizeRank,Zri,MoM,QoQ,YoY,ZriRecordCnt
9/30/2017,89148,NV,Las Vegas,Clark,Las Vegas,974,1340,0.004497751,0.013615734,0.036349575,17147
9/30/2017,48858,MI,Mount Pleasant,Isabella,Mount Pleasant,975,945,0.002120891,0.022727273,-0.023760331,9958
9/30/2017,14075,NY,Buffalo,Erie,Town of Hamburg,976,1306,-0.007598784,-0.037582903,-0.021722846,13995
9/30/2017,32837,FL,Orlando,Orange,Orlando,977,1567,0.00063857,0.0116204,0.044666667,15398
9/30/2017,91766,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Pomona,978,2107,0.011521843,0.026803119,0.069000507,13832
9/30/2017,29414,SC,Charleston,Charleston,Charleston,979,1633,0.004923077,0.008647313,0.027690371,13362
9/30/2017,87123,NM,Albuquerque,Bernalillo,Albuquerque,980,1195,0,-0.001670844,0.000837521,12424
9/30/2017,52001,IA,Dubuque,Dubuque,Dubuque,981,979,-0.014098691,-0.021978022,0.007201646,15270
9/30/2017,91706,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Baldwin Park,982,2202,0.001819836,0.005020539,0.058653846,14171
9/30/2017,92346,CA,Riverside,San Bernardino,Highland,983,1808,0.006681514,0.025524674,0.053613054,14179
9/30/2017,75023,TX,Dallas-Fort Worth,Collin,Plano,984,1785,-0.00055991,-0.00390625,0.018835616,14354
9/30/2017,24502,VA,Lynchburg,Lynchburg City,Lynchburg,985,1106,0.005454545,0.022181146,0.044381492,12802
9/30/2017,65803,MO,Springfield,Greene,Springfield,986,663,-0.00748503,-0.016320475,-0.010447761,14366
9/30/2017,11758,NY,New York,Nassau,Massapequa,987,2902,0.004152249,0.011502266,0.029078014,17692
9/30/2017,92260,CA,Riverside,Riverside,Palm Desert,988,2372,0.002112379,-0.002942413,0.056570156,15191
9/30/2017,1970,MA,Boston,Essex,Salem,989,1999,0.003514056,0.004522613,0.00959596,12645
9/30/2017,27612,NC,Raleigh,Wake,Raleigh,990,1663,0.004227053,0.013406459,0.050536955,12210
9/30/2017,28110,NC,Charlotte,Union,Monroe,991,1332,0.003012048,0.003012048,0.023041475,16027
9/30/2017,95616,CA,Sacramento,Yolo,Davis,992,2561,0.00668239,0.020318725,0.08379179,8699
9/30/2017,21229,MD,Baltimore,Baltimore City,Baltimore,993,1278,0.004716981,-0.000781861,-0.006993007,14955
9/30/2017,80229,CO,Denver,Adams,Thornton,994,1708,0.004705882,0.017272186,0.023980815,12531
9/30/2017,48235,MI,Detroit,Wayne,Detroit,995,766,0.005249344,0.013227513,-0.007772021,18758
9/30/2017,48219,MI,Detroit,Wayne,Detroit,996,763,0.007926024,0.010596026,-0.016752577,19587
9/30/2017,8401,NJ,Atlantic City,Atlantic,Atlantic City,997,1294,-0.003081664,0.009360374,0.00622084,12591
9/30/2017,54703,WI,Eau Claire,Eau Claire,Eau Claire,998,1082,-0.001845018,-0.052539405,0.054580897,14802
9/30/2017,33415,FL,Miami-Fort Lauderdale,Palm Beach,Greenacres,999,1388,0.007256894,0.019838354,0.03043801,16125
9/30/2017,97202,OR,Portland,Multnomah,Portland,1000,2241,0.000893256,0.014486193,0.031293143,12920
9/30/2017,85018,AZ,Phoenix,Maricopa,Phoenix,1001,2077,-0.006220096,-0.020744932,0.053245436,14078
9/30/2017,85207,AZ,Phoenix,Maricopa,Mesa,1002,1558,0.000642261,0.006459948,0.024326101,15864
9/30/2017,27107,NC,Winston-Salem,Forsyth,Winston-Salem,1003,939,0.006430868,0.00751073,0.037569061,17759
9/30/2017,87108,NM,Albuquerque,Bernalillo,Albuquerque,1004,1126,0.004460303,0.011680144,0.002671416,9657
9/30/2017,75219,TX,Dallas-Fort Worth,Dallas,Dallas,1005,1716,0.005861665,0.010600707,0.004683841,10895
