C:\Users\czhao\AppData\Local\Programs\Python\Python36-32\python.exe "C:/Users/czhao/Documents/AI 1/Technica/processdata.py"
39.359754 -76.745568
39.492211 -76.654874
39.295737 -76.684116
39.320697 -76.618621
39.184157 -76.614159
39.296402 -76.612055
39.33796 -76.700302
39.359527 -76.541052
39.315012 -76.572841
39.286263 -76.619375
39.291425 -76.71659
39.27725 -76.554352
39.346273 -76.688364
39.317932 -76.704954
39.295432 -76.640924
39.305148 -76.636603
39.289545 -76.584748
39.372591 -76.80558
39.311949 -77.627027
39.347707 -76.704938
39.310844 -76.675954
39.332602 -76.66298
39.414384 -76.774917
39.345075 -76.692195
39.552761 -76.097123
39.371003 -76.743665
39.029679 -77.133527
39.148204 -76.639133
39.038805 -77.09335
39.118491 -76.583098
39.287361 -76.552764
39.358685 -76.749765
39.251439 -76.647195
39.306725 -76.617724
39.284952 -76.650009
39.234429 -76.64161
39.376263 -76.662649
39.285181 -76.645146
39.336167 -76.549538
39.552761 -76.097123
39.281786 -76.679414
39.281054 -76.719216
39.294053 -76.589458
39.367236 -76.754177
39.371495 -76.720122
39.027071 -77.072234
39.328804 -76.441066
39.30353 -76.542916
39.532965 -76.32271
39.299825 -76.585675
39.258021 -76.664121
39.309077 -76.473755
39.290633 -76.590451
39.314741 -76.664227
39.414287 -76.800392
39.392399 -76.619601
39.396044 -76.611794
39.324882 -76.459456
39.311289 -76.615361
39.148763 -76.799487
39.558089 -76.07318
39.287081 -76.553258
39.333199 -76.753309
38.984582 -76.498706
39.252702 -76.521355
39.28148 -76.694694
39.285403 -76.649992
39.299661 -76.625768
39.366779 -76.65268
39.238737 -76.505626
39.347989 -76.59167
39.366803 -76.676919
39.279602 -76.578279
39.39316 -76.525821
39.31809 -76.690369
39.344718 -76.686132
39.252702 -76.521355
39.29135 -76.619449
39.325741 -76.551431
39.312239 -76.590059
39.12207 -76.772921
39.270003 -76.600124
39.290537 -76.613594
39.362626 -76.675166
39.352094 -76.643116
39.311838 -76.525955
39.322853 -76.658221
39.289253 -76.597117
38.978291 -76.495743
39.140857 -76.603335
39.38997 -76.528825
38.720369 -76.604826
39.293987 -76.621342
39.293687 -76.652275
39.303225 -76.643175
39.281473 -76.64877
39.292087 -76.611252
39.29785 -76.623527
39.383343 -76.57281
39.195547 -76.685941
39.299046 -76.590974
39.291107 -76.719054
39.296878 -76.621473
39.339225 -76.447766
39.325129 -76.657744
39.338484 -76.755935
39.339499 -76.666511
39.296853 -76.744758
39.309113 -76.668984
39.287992 -76.60743
38.989988 -76.493984
39.254943 -76.63405
39.352692 -76.755486
39.299183 -76.603853
39.325361 -76.537503
39.492158 -76.655177
39.350289 -76.609816
39.320746 -76.698988
39.261233 -76.658443
39.340399 -76.683478
39.27698 -76.569586
39.366398 -76.68096
39.324586 -77.730548
39.356595 -76.765949
39.359647 -76.588482
39.282964 -76.672023
39.299504 -76.634094
39.312239 -76.590059
39.360305 -76.651722
39.331739 -76.597426
39.223764 -76.613526
39.344677 -76.586197
39.303988 -76.625774
39.448121 -76.815318
39.174267 -76.802653
39.384333 -76.626786
39.174674 -76.778568
39.473691 -76.308857
39.348007 -76.764881
39.308836 -76.671501
39.325295 -76.65735
39.135561 -76.585276
39.240511 -76.608454
39.317005 -76.651037
39.270736 -76.737848
39.299371 -76.597931
39.373185 -76.458502
39.272984 -76.671095
39.307906 -76.750685
39.316432 -76.67286
39.368107 -76.797463
39.277391 -76.571988
39.351066 -76.682345
39.299015 -76.621599
39.408085 -76.77941
39.29032 -76.624263
39.29274 -76.652271
39.339085 -76.667832
39.294627 -76.656706
39.336199 -76.672242
39.260497 -76.732016
39.325429 -76.712167
39.275402 -76.694323
39.359916 -76.745817
39.308483 -76.573064
39.318726 -76.57716
39.331636 -76.603198
39.396597 -76.567799
39.305917 -76.637635
39.311403 -76.608618
39.319438 -76.6907
39.337467 -76.637091
39.337174 -76.631055
39.290157 -76.613975
39.336843 -76.673072
38.313537 -76.548573
39.402112 -76.599698
39.318669 -76.586969
39.332119 -76.648267
